Date,Price,Vol.
2000-01-03,208.00,4430
2000-01-04,209.75,3620
2000-01-05,210.00,4320
2000-01-06,210.75,4770
2000-01-07,214.00,4910
2000-01-10,215.50,6320
2000-01-11,214.50,8120
2000-01-12,223.00,19980
2000-01-13,228.50,18350
2000-01-14,226.75,13690
2000-01-18,227.75,10590
2000-01-19,228.75,8340
2000-01-20,228.75,6060
2000-01-21,230.75,7930
2000-01-24,234.75,15060
2000-01-25,235.50,9740
2000-01-26,230.75,11570
2000-01-27,233.50,11090
2000-01-28,231.50,5470
2000-01-31,227.75,9370
2000-02-01,230.00,7020
2000-02-02,228.75,6140
2000-02-03,226.00,12390
2000-02-04,227.75,13110
2000-02-07,229.75,11460
2000-02-08,229.50,11190
2000-02-09,230.75,14880
2000-02-10,234.00,20940
2000-02-11,230.25,17760
2000-02-14,230.75,11130
2000-02-15,231.00,10460
2000-02-16,231.25,19410
2000-02-17,229.75,16320
2000-02-18,228.75,16140
2000-02-22,228.00,29650
2000-02-23,223.25,51480
2000-02-24,224.75,41180
2000-02-25,221.50,51810
2000-02-28,220.75,57200
2000-02-29,224.00,51520
2000-03-01,223.00,36760
2000-03-02,224.00,26200
2000-03-03,225.50,30650
2000-03-06,228.75,45870
2000-03-07,225.25,41150
2000-03-08,226.25,34400
2000-03-09,227.25,34790
2000-03-10,226.75,28470
2000-03-13,230.75,55540
2000-03-14,238.00,84520
2000-03-15,244.50,20340
2000-03-16,243.75,18650
2000-03-17,249.00,20220
2000-03-20,244.00,14540
2000-03-21,240.50,14450
2000-03-22,242.75,9630
2000-03-23,238.25,12340
2000-03-24,240.25,15120
2000-03-27,240.75,15060
2000-03-28,233.75,27580
2000-03-29,235.50,16960
2000-03-30,241.75,14460
2000-03-31,244.50,20550
2000-04-03,242.75,16810
2000-04-04,240.75,12880
2000-04-05,240.75,11530
2000-04-06,235.75,15420
2000-04-07,237.75,16320
2000-04-10,235.50,17610
2000-04-11,231.75,29120
2000-04-12,234.00,16360
2000-04-13,236.25,22970
2000-04-14,235.00,33180
2000-04-17,232.50,28550
2000-04-18,233.50,29960
2000-04-19,236.75,30770
2000-04-20,235.75,23740
2000-04-24,236.75,32230
2000-04-25,239.50,48090
2000-04-26,236.50,48940
2000-04-27,234.25,50540
2000-04-28,232.00,50250
2000-05-01,244.00,80510
2000-05-02,246.25,72630
2000-05-03,250.75,105550
2000-05-04,250.25,41310
2000-05-05,248.25,46680
2000-05-08,241.00,63240
2000-05-09,238.75,57110
2000-05-10,244.25,47600
2000-05-11,244.75,38430
2000-05-12,245.75,37810
2000-05-15,247.25,6780
2000-05-16,243.75,3870
2000-05-17,243.25,4820
2000-05-18,246.25,6060
2000-05-19,248.50,3640
2000-05-22,249.50,3690
2000-05-23,246.75,2770
2000-05-24,243.00,4110
2000-05-25,239.25,6860
2000-05-26,242.25,3460
2000-05-30,233.00,10150
2000-05-31,233.00,6080
2000-06-01,233.75,4850
2000-06-02,237.75,5320
2000-06-05,233.00,5510
2000-06-06,234.00,5080
2000-06-07,228.50,11380
2000-06-08,227.75,10720
2000-06-09,228.50,9820
2000-06-12,217.25,22740
2000-06-13,216.75,12580
2000-06-14,212.00,19810
2000-06-15,214.25,11240
2000-06-16,216.00,7780
2000-06-19,213.75,12800
2000-06-20,210.50,16360
2000-06-21,211.75,12760
2000-06-22,211.25,15500
2000-06-23,207.75,15960
2000-06-26,202.75,19020
2000-06-27,205.25,21160
2000-06-28,201.00,32280
2000-06-29,203.75,45810
2000-06-30,195.75,31990
2000-07-03,190.75,25190
2000-07-05,192.50,25240
2000-07-06,188.50,24160
2000-07-07,190.75,17440
2000-07-10,187.00,23140
2000-07-11,185.00,18750
2000-07-12,185.75,23120
2000-07-13,186.00,19910
2000-07-14,182.50,17420
2000-07-17,187.25,210
2000-07-18,188.50,120
2000-07-19,189.50,50
2000-07-20,194.00,270
2000-07-21,195.75,20
2000-07-24,192.25,120
2000-07-25,190.50,80
2000-07-26,188.00,120
2000-07-27,188.75,20
2000-07-28,188.00,20
2000-07-31,188.50,170
2000-08-01,187.75,10
2000-08-02,188.75,20
2000-08-03,188.00,30
2000-08-04,187.00,40
2000-08-07,185.75,20
2000-08-08,187.50,10
2000-08-09,186.25,30
2000-08-10,185.25,80
2000-08-11,182.75,140
2000-08-14,183.75,70
2000-08-15,183.75,20
2000-08-16,186.75,260
