Date,Price,Vol.
2000-01-03,456.50,6210
2000-01-04,464.25,8560
2000-01-05,469.25,11040
2000-01-06,468.00,7590
2000-01-07,471.50,8940
2000-01-10,466.25,6270
2000-01-11,467.00,4540
2000-01-12,472.50,3980
2000-01-13,481.75,1820
2000-01-14,485.50,990
2000-01-18,502.25,44220
2000-01-19,501.00,35720
2000-01-20,505.50,38500
2000-01-21,505.25,33160
2000-01-24,512.00,36610
2000-01-25,517.00,27420
2000-01-26,513.25,27540
2000-01-27,527.00,57270
2000-01-28,523.50,38840
2000-01-31,508.00,39870
2000-02-01,510.00,32320
2000-02-02,507.50,24260
2000-02-03,501.00,34370
2000-02-04,505.50,34450
2000-02-07,506.50,28640
2000-02-08,500.25,27420
2000-02-09,503.75,26110
2000-02-10,513.00,35850
2000-02-11,505.25,35940
2000-02-14,505.00,23350
2000-02-15,508.75,28940
2000-02-16,507.50,30190
2000-02-17,508.00,25230
2000-02-18,514.50,32760
2000-02-22,513.00,38560
2000-02-23,499.75,30510
2000-02-24,504.50,21380
2000-02-25,497.00,22130
2000-02-28,497.75,25980
2000-02-29,501.25,17010
2000-03-01,496.50,9230
2000-03-02,501.50,7620
2000-03-03,504.00,4730
2000-03-06,508.25,4320
2000-03-07,502.25,5900
2000-03-08,505.50,4950
2000-03-09,507.00,3170
2000-03-10,500.00,1910
2000-03-13,513.25,1360
2000-03-14,520.00,820
2000-03-15,525.00,30270
2000-03-16,525.50,42710
2000-03-17,537.50,40730
2000-03-20,525.75,34870
2000-03-21,526.75,25200
2000-03-22,531.00,26000
2000-03-23,522.00,33210
2000-03-24,530.75,34920
2000-03-27,531.50,24450
2000-03-28,526.50,21420
2000-03-29,529.00,23190
2000-03-30,537.50,28460
2000-03-31,545.50,44280
2000-04-03,546.50,36090
2000-04-04,538.50,40230
2000-04-05,543.00,29280
2000-04-06,531.00,29420
2000-04-07,538.75,30170
2000-04-10,532.00,21600
2000-04-11,528.00,30750
2000-04-12,537.50,30080
2000-04-13,538.25,21510
2000-04-14,532.50,20660
2000-04-17,531.50,14290
2000-04-18,534.00,15180
2000-04-19,537.50,14720
2000-04-20,536.25,12410
2000-04-24,544.00,14080
2000-04-25,543.00,20510
2000-04-26,540.25,19270
2000-04-27,532.50,23150
