Date,Volume
2014-07-10,958
2014-07-09,1044
2014-07-08,2956
2014-07-07,1891
2014-07-03,2692
2014-07-02,5674
2014-07-01,5871
2014-06-30,17766
2014-06-27,46875
2014-06-26,52923
2014-06-25,49180
2014-06-24,60215
2014-06-23,62252
2014-06-20,62962
2014-06-19,51600
2014-06-18,67269
2014-06-17,92060
2014-06-16,77649
2014-06-13,62657
2014-06-12,139658
2014-06-11,116254
2014-06-10,96312
2014-06-09,90654
2014-06-06,79585
2014-06-05,100870
2014-06-04,77246
2014-06-03,94325
2014-06-02,80719
2014-05-30,53201
2014-05-29,60119
2014-05-28,59173
2014-05-27,79673
2014-05-23,61663
2014-05-22,127419
2014-05-21,92239
2014-05-20,85714
2014-05-19,94674
2014-05-16,62692
2014-05-15,99019
2014-05-14,90590
2014-05-13,435
2014-05-12,510
2014-05-09,1026
2014-05-08,1128
2014-05-07,2858
2014-05-06,3019
2014-05-05,3125
2014-05-02,2947
2014-05-01,7456
2014-04-30,15264
2014-04-29,41472
2014-04-28,60343
2014-04-25,78178
2014-04-24,66517
2014-04-23,61378
2014-04-22,84296
2014-04-21,46278
2014-04-17,63784
2014-04-16,68875
2014-04-15,95184
2014-04-14,92763
2014-04-11,92904
2014-04-10,80017
2014-04-09,131665
2014-04-08,97342
2014-04-07,80388
2014-04-04,72120
2014-04-03,86242
2014-04-02,115773
2014-04-01,99416
2014-03-31,114538
2014-03-28,59818
2014-03-27,66708
2014-03-26,64024
2014-03-25,59859
2014-03-24,79050
2014-03-21,77887
2014-03-20,115248
2014-03-19,84021
2014-03-18,86122
2014-03-17,73501
2014-03-14,82163
2014-03-13,673
2014-03-12,855
2014-03-11,786
2014-03-10,2362
2014-03-07,1384
2014-03-06,1159
2014-03-05,2695
2014-03-04,4703
2014-03-03,5480
2014-02-28,13053
2014-02-27,65635
2014-02-26,76292
2014-02-25,75676
2014-02-24,75579
2014-02-21,87981
2014-02-20,89864
2014-02-19,91724
2014-02-18,110545
2014-02-14,104800
2014-02-13,146027
2014-02-12,120903
2014-02-11,136598
2014-02-10,138644
2014-02-07,86853
2014-02-06,110834
2014-02-05,112133
2014-02-04,114579
2014-02-03,91717
2014-01-31,71001
2014-01-30,127093
2014-01-29,100762
2014-01-28,58970
2014-01-27,91707
2014-01-24,110447
2014-01-23,107872
2014-01-22,101694
2014-01-21,120155
2014-01-17,76571
2014-01-16,101482
2014-01-15,96559
2014-01-14,125170
2014-01-13,1070
2014-01-10,1142
2014-01-09,2454
2014-01-08,3050
2014-01-07,2600
2014-01-06,2906
2014-01-03,7385
2014-01-02,8675
2013-12-31,21149
2013-12-30,45721
2013-12-27,40255
2013-12-26,49390
2013-12-24,20848
2013-12-23,57204
2013-12-20,75189
2013-12-19,107255
2013-12-18,119032
2013-12-17,110864
2013-12-16,96158
2013-12-13,73351
2013-12-12,142780
2013-12-11,95905
2013-12-10,151495
2013-12-09,119248
2013-12-06,89331
2013-12-05,105555
2013-12-04,108326
2013-12-03,92773
2013-12-02,100676
2013-11-29,56777
2013-11-27,105162
2013-11-26,102374
2013-11-25,111656
2013-11-22,131379
2013-11-21,92414
2013-11-20,71551
2013-11-19,114103
2013-11-18,72543
2013-11-15,106848
2013-11-14,77295
2013-11-13,940
2013-11-12,1518
2013-11-11,1942
2013-11-08,1957
2013-11-07,2509
2013-11-06,3332
2013-11-05,4988
2013-11-04,13883
2013-11-01,14331
2013-10-31,25853
2013-10-30,72297
2013-10-29,95488
2013-10-28,124280
2013-10-25,104191
2013-10-24,111457
2013-10-23,139166
2013-10-22,117953
2013-10-21,99173
2013-10-18,113246
2013-10-17,131533
2013-10-16,119977
2013-10-15,92847
2013-10-14,115468
2013-10-11,147378
2013-10-10,150688
2013-10-09,128973
2013-10-08,149055
2013-10-07,107027
2013-10-04,107858
2013-10-03,116591
2013-10-02,128886
2013-10-01,123503
2013-09-30,169923
2013-09-27,91120
2013-09-26,72707
2013-09-25,101566
2013-09-24,73052
2013-09-23,80316
2013-09-20,118735
2013-09-19,102649
2013-09-18,87033
2013-09-17,150137
2013-09-16,122652
2013-09-13,103430
2013-09-12,296
2013-09-11,224
2013-09-10,378
2013-09-09,671
2013-09-06,989
2013-09-05,1317
2013-09-04,1805
2013-09-03,3790
2013-08-30,2867
2013-08-29,9732
2013-08-28,12481
2013-08-27,8028
2013-08-26,12961
2013-08-23,18028
2013-08-22,13711
2013-08-21,17957
2013-08-20,11955
2013-08-19,20059
2013-08-16,14233
2013-08-15,17639
2013-08-14,11285
2013-08-13,449
2013-08-12,482
2013-08-09,757
2013-08-08,896
2013-08-07,720
2013-08-06,689
2013-08-05,1073
2013-08-02,1670
2013-08-01,3800
2013-07-31,4285
2013-07-30,13491
2013-07-29,17663
2013-07-26,25460
2013-07-25,29089
2013-07-24,48325
2013-07-23,45710
2013-07-22,29915
2013-07-19,26799
2013-07-18,23876
2013-07-17,20853
2013-07-16,33964
2013-07-15,31883
2013-07-12,34640
2013-07-11,1680
2013-07-10,2506
2013-07-09,3023
2013-07-08,1980
2013-07-05,1140
2013-07-03,2482
2013-07-02,1612
2013-07-01,4749
2013-06-28,17119
2013-06-27,39906
2013-06-26,52563
2013-06-25,52405
2013-06-24,52587
2013-06-21,61612
2013-06-20,45803
2013-06-19,58940
2013-06-18,67843
2013-06-17,50982
2013-06-14,55355
2013-06-13,94100
2013-06-12,110605
2013-06-11,93870
2013-06-10,90119
2013-06-07,80293
2013-06-06,76211
2013-06-05,101120
2013-06-04,56812
2013-06-03,84969
2013-05-31,80189
2013-05-30,52524
2013-05-29,80708
2013-05-28,105640
2013-05-24,119652
2013-05-23,187905
2013-05-22,115680
2013-05-21,125501
2013-05-20,107222
2013-05-17,111419
2013-05-16,88796
2013-05-15,79798
2013-05-14,75010
2013-05-13,2147
2013-05-10,1968
2013-05-09,1692
2013-05-08,2419
2013-05-07,1345
2013-05-06,1827
2013-05-03,2880
2013-05-02,4084
2013-05-01,10416
2013-04-30,18406
2013-04-29,45051
2013-04-26,53807
2013-04-25,61879
2013-04-24,62113
2013-04-23,77582
2013-04-22,57241
2013-04-19,44549
2013-04-18,79831
2013-04-17,87099
2013-04-16,102038
2013-04-15,100251
2013-04-12,103806
2013-04-11,122393
2013-04-10,113167
2013-04-09,123394
2013-04-08,105310
2013-04-05,102344
2013-04-04,95365
2013-04-03,100704
2013-04-02,98588
2013-04-01,96120
2013-03-28,155928
2013-03-27,58313
2013-03-26,61945
2013-03-25,62846
2013-03-22,79281
2013-03-21,98509
2013-03-20,76440
2013-03-19,97365
2013-03-18,112973
2013-03-15,95326
2013-03-14,95062
2013-03-13,527
2013-03-12,840
2013-03-11,585
2013-03-08,1788
2013-03-07,3350
2013-03-06,3337
2013-03-05,6281
2013-03-04,8398
2013-03-01,11613
2013-02-28,28018
2013-02-27,45526
2013-02-26,64608
2013-02-25,74054
2013-02-22,139375
2013-02-21,118866
2013-02-20,118253
2013-02-19,145035
2013-02-15,90717
2013-02-14,95572
2013-02-13,104862
2013-02-12,113176
2013-02-11,117728
2013-02-08,166712
2013-02-07,131635
2013-02-06,107825
2013-02-05,90371
2013-02-04,95992
2013-02-01,94849
2013-01-31,138487
2013-01-30,138947
2013-01-29,84650
2013-01-28,86823
2013-01-25,95885
2013-01-24,83913
2013-01-23,90653
2013-01-22,111637
2013-01-18,76707
2013-01-17,111879
2013-01-16,94398
2013-01-15,103624
2013-01-14,146903
2013-01-11,1516
2013-01-10,1253
2013-01-09,1396
2013-01-08,2435
2013-01-07,2123
2013-01-04,7087
2013-01-03,6272
2013-01-02,11297
2012-12-31,12657
2012-12-28,38035
2012-12-27,43756
2012-12-26,32196
2012-12-24,16653
2012-12-21,61980
2012-12-20,113846
2012-12-19,119698
2012-12-18,133472
2012-12-17,92953
2012-12-14,85466
2012-12-13,124841
2012-12-12,131637
2012-12-11,153947
2012-12-10,134366
2012-12-07,144339
2012-12-06,101950
2012-12-05,96796
2012-12-04,84049
2012-12-03,93809
2012-11-30,74804
2012-11-29,95313
2012-11-28,81547
2012-11-27,91378
2012-11-26,77140
2012-11-23,32994
2012-11-21,69796
2012-11-20,93560
2012-11-19,76443
2012-11-16,111038
2012-11-15,75222
2012-11-14,86458
2012-11-13,1838
2012-11-12,1445
2012-11-09,11301
2012-11-08,2234
2012-11-07,2551
2012-11-06,5592
2012-11-05,9670
2012-11-02,13233
2012-11-01,15081
2012-10-31,34194
2012-10-26,106493
2012-10-25,96987
2012-10-24,136436
