Date,Price,Vol.
2000-01-03,247.50,13430
2000-01-04,247.25,21170
2000-01-05,249.75,14710
2000-01-06,248.50,13680
2000-01-07,251.75,16470
2000-01-10,253.50,18410
2000-01-11,253.75,17510
2000-01-12,258.75,21320
2000-01-13,263.50,21220
2000-01-14,265.00,27430
2000-01-18,264.50,14230
2000-01-19,266.00,12110
2000-01-20,265.00,14760
2000-01-21,264.25,13980
2000-01-24,266.00,17630
2000-01-25,264.75,11580
2000-01-26,260.00,17880
2000-01-27,263.50,26300
2000-01-28,259.75,15930
2000-01-31,256.25,15900
2000-02-01,258.00,11350
2000-02-02,257.25,9080
2000-02-03,253.75,17190
2000-02-04,257.00,21560
2000-02-07,258.75,16380
2000-02-08,259.25,12210
2000-02-09,265.50,24310
2000-02-10,271.75,35790
2000-02-11,269.50,35630
2000-02-14,268.75,12200
2000-02-15,266.00,16490
2000-02-16,265.25,21640
2000-02-17,262.50,10300
2000-02-18,264.75,11420
2000-02-22,262.25,17340
2000-02-23,254.75,19100
2000-02-24,254.75,10940
2000-02-25,248.00,13860
2000-02-28,244.50,19380
2000-02-29,247.00,9240
2000-03-01,247.75,7250
2000-03-02,247.25,6820
2000-03-03,247.50,5170
2000-03-06,249.75,4770
2000-03-07,250.00,3560
2000-03-08,252.00,3600
2000-03-09,254.25,90
2000-03-10,250.00,280
2000-03-13,253.75,270
2000-03-14,259.50,240
2000-03-15,268.75,11500
2000-03-16,266.25,11960
2000-03-17,272.25,17960
2000-03-20,266.25,10130
2000-03-21,260.25,19370
2000-03-22,261.75,11760
2000-03-23,256.25,15740
2000-03-24,252.75,20110
2000-03-27,254.50,6300
2000-03-28,249.75,10170
2000-03-29,251.25,6860
2000-03-30,255.50,8590
2000-03-31,262.25,20970
2000-04-01,242.25,159280
2000-04-03,257.75,15620
2000-04-04,255.75,6560
2000-04-05,256.25,7050
2000-04-06,253.75,7560
2000-04-07,258.50,6910
2000-04-10,252.75,8400
2000-04-11,252.75,7490
2000-04-12,255.50,7790
2000-04-13,257.75,8140
2000-04-14,255.75,5390
2000-04-17,253.25,6760
2000-04-18,252.25,9470
2000-04-19,253.00,6690
2000-04-20,251.00,5860
2000-04-24,250.75,5240
2000-04-25,252.25,6340
2000-04-26,248.50,11500
2000-04-27,241.00,20530
2000-04-28,242.25,6000
2000-05-01,251.00,4990
2000-05-02,254.25,4980
2000-05-03,260.00,790
2000-05-04,265.50,230
2000-05-05,261.75,70
2000-05-08,258.00,90
2000-05-09,257.75,310
2000-05-10,265.00,50
2000-05-11,272.50,370
2000-05-12,271.00,20
2000-05-15,282.25,27470
2000-05-16,281.25,18200
2000-05-17,277.00,21480
2000-05-18,272.00,25390
2000-05-19,276.25,11390
2000-05-22,280.25,19060
2000-05-23,281.25,18250
2000-05-24,279.50,10930
2000-05-25,279.50,18930
2000-05-26,280.75,12430
2000-05-30,274.25,20490
2000-05-31,274.75,12560
2000-06-01,270.50,22140
2000-06-02,271.25,20820
2000-06-05,266.00,24790
2000-06-06,267.00,16750
2000-06-07,264.25,23230
2000-06-08,266.50,14210
2000-06-09,269.75,23710
2000-06-12,265.75,17280
2000-06-13,264.75,16950
2000-06-14,261.25,18740
2000-06-15,262.75,15900
2000-06-16,263.00,11340
2000-06-19,268.75,12980
2000-06-20,273.75,26270
2000-06-21,277.00,19650
2000-06-22,277.50,15080
2000-06-23,272.25,14210
2000-06-26,274.00,11070
2000-06-27,273.75,11230
2000-06-28,271.50,13040
2000-06-29,271.75,19150
2000-06-30,259.50,7290
2000-07-01,246.25,72620
2000-07-03,245.50,5350
2000-07-05,248.00,3510
2000-07-06,244.50,960
2000-07-07,245.50,540
2000-07-10,247.25,740
2000-07-11,247.00,540
2000-07-12,243.00,440
2000-07-13,245.00,60
2000-07-14,242.50,60
2000-07-17,244.25,7230
2000-07-18,241.25,6520
2000-07-19,244.50,7140
2000-07-20,246.75,3790
2000-07-21,247.25,4380
2000-07-24,245.50,4390
2000-07-25,245.50,5970
2000-07-26,244.25,3760
2000-07-27,245.75,5410
2000-07-28,248.00,5700
2000-07-31,246.25,6130
2000-08-01,245.00,6980
2000-08-02,246.25,5730
2000-08-03,242.25,7050
2000-08-04,237.00,6080
2000-08-07,233.50,6490
2000-08-08,236.50,8200
2000-08-09,235.50,7030
2000-08-10,235.75,10410
2000-08-11,236.75,7030
2000-08-14,238.50,2580
2000-08-15,240.50,3780
2000-08-16,243.50,6010
2000-08-17,239.50,4710
2000-08-18,238.75,5950
2000-08-21,236.25,5510
2000-08-22,234.75,5750
2000-08-23,233.75,3470
2000-08-24,240.00,8570
2000-08-25,241.50,8200
2000-08-28,245.00,8770
2000-08-29,250.25,10670
2000-08-30,246.25,14030
2000-08-31,250.75,4980
2000-09-01,250.25,4380
2000-09-05,253.00,3350
2000-09-06,247.50,1850
2000-09-07,249.50,1530
2000-09-08,250.50,1330
2000-09-11,249.25,940
2000-09-12,245.00,300
2000-09-13,242.00,560
2000-09-14,242.00,70
2000-09-15,252.25,12460
2000-09-18,256.25,23180
2000-09-19,249.25,20330
2000-09-20,249.75,12420
2000-09-21,247.50,15540
2000-09-22,250.75,11680
2000-09-25,253.50,11380
2000-09-26,254.50,12330
2000-09-27,258.50,15520
2000-09-28,259.25,15630
2000-09-29,265.00,22490
2000-10-01,254.75,364340
2000-10-02,267.00,16980
2000-10-03,268.75,18320
2000-10-04,267.25,18510
2000-10-05,267.25,16120
2000-10-06,268.00,12540
2000-10-09,267.25,6830
2000-10-10,275.25,24670
2000-10-11,276.75,24430
2000-10-12,273.50,22580
2000-10-13,267.25,18400
2000-10-16,270.75,13380
2000-10-17,268.50,16870
2000-10-18,263.75,15390
2000-10-19,260.25,18980
2000-10-20,261.25,13880
2000-10-23,256.75,20810
2000-10-24,256.25,19730
2000-10-25,255.50,11710
2000-10-26,256.25,11710
2000-10-27,259.00,10990
2000-10-30,255.50,14380
2000-10-31,254.75,17120
2000-11-01,254.75,12490
2000-11-02,259.75,12260
2000-11-03,264.00,16080
2000-11-06,262.75,13210
2000-11-07,262.25,9290
2000-11-08,265.25,12540
2000-11-09,258.25,18590
2000-11-10,256.75,15130
2000-11-13,257.75,16630
2000-11-14,255.75,14040
2000-11-15,254.50,9460
2000-11-16,254.50,14110
2000-11-17,256.00,11900
2000-11-20,256.00,13110
2000-11-21,254.75,10910
2000-11-22,257.50,11500
2000-11-24,260.50,7090
2000-11-27,257.25,21810
2000-11-28,255.50,18190
2000-11-29,251.50,34810
2000-11-30,256.00,14340
2000-12-01,260.25,10220
2000-12-04,262.00,7340
2000-12-05,259.25,4820
2000-12-06,260.00,4400
2000-12-07,254.75,3180
2000-12-08,257.50,280
2000-12-11,255.00,940
2000-12-12,254.50,200
2000-12-13,255.00,240
2000-12-14,253.00,230
2000-12-15,265.25,14810
2000-12-18,268.75,12500
2000-12-19,272.50,14840
2000-12-20,271.00,11470
2000-12-21,272.75,9130
2000-12-22,275.75,16190
2000-12-26,274.50,4820
2000-12-27,272.75,6080
2000-12-28,271.75,5210
2000-12-29,279.50,15550
2001-01-01,273.00,410550
2001-01-02,276.25,14280
2001-01-03,283.25,28720
2001-01-04,284.25,20430
2001-01-05,283.00,19380
2001-01-08,283.00,14100
2001-01-09,285.00,21410
2001-01-10,289.00,25780
2001-01-11,289.75,35150
2001-01-12,289.00,20160
2001-01-16,285.25,15960
2001-01-17,282.50,13430
2001-01-18,284.50,10890
2001-01-19,285.50,17120
2001-01-22,285.25,14690
2001-01-23,285.75,12190
2001-01-24,285.50,17800
2001-01-25,279.00,20880
2001-01-26,276.25,19830
2001-01-29,269.25,36860
2001-01-30,270.50,16870
2001-01-31,273.00,14630
2001-02-01,270.25,13310
2001-02-02,272.00,11250
2001-02-05,268.50,3370
2001-02-06,267.00,21130
2001-02-07,267.00,12630
2001-02-08,266.75,15340
2001-02-09,266.25,10820
2001-02-12,261.75,18540
2001-02-13,263.00,14360
2001-02-14,267.50,17760
2001-02-15,267.50,12300
2001-02-16,264.25,10280
2001-02-20,266.25,10730
2001-02-21,262.25,16100
2001-02-22,258.50,17470
2001-02-23,259.25,17840
2001-02-26,259.00,24520
2001-02-27,257.50,23310
2001-02-28,265.00,9340
2001-03-01,266.75,6490
2001-03-02,270.50,6120
2001-03-05,273.75,
2001-03-06,272.25,2430
2001-03-07,270.00,1460
2001-03-08,270.50,940
2001-03-09,270.25,320
2001-03-12,277.00,340
