Date,Volume
2009-10-08,61625
2009-10-09,38632
2009-10-12,38270
2009-10-13,56272
2009-10-14,55673
2009-10-15,39749
2009-10-16,25743
2009-10-19,41029
2009-10-20,45349
2009-10-21,55443
2009-10-22,53245
2009-10-23,76800
2009-10-26,70143
2009-10-27,56270
2009-10-28,45955
2009-10-29,48038
2009-10-30,48361
2009-11-02,56540
2009-11-03,39810
2009-11-04,47229
2009-11-05,30257
2009-11-06,47550
2009-11-09,55787
2009-11-10,60450
2009-11-11,69290
2009-11-12,79147
2009-11-13,35850
2009-11-16,80556
2009-11-17,69550
2009-11-18,57575
2009-11-19,45587
2009-11-20,35167
2009-11-23,46052
2009-11-24,40378
2009-11-25,34063
2009-11-27,20034
2009-11-30,16714
2009-12-01,11071
2009-12-02,7994
2009-12-03,4445
2009-12-04,3748
2009-12-07,3161
2009-12-08,2263
2009-12-09,1282
2009-12-10,1006
2009-12-11,816
2009-12-14,30960
2009-12-15,33861
2009-12-16,40739
2009-12-17,45340
2009-12-18,36078
2009-12-21,19468
2009-12-22,18945
2009-12-23,14599
2009-12-24,10723
2009-12-28,30953
2009-12-29,24514
2009-12-30,19911
2009-12-31,14383
2010-01-04,41278
2010-01-05,36720
2010-01-06,38503
2010-01-07,33873
2010-01-08,33873
2010-01-11,33873
2010-01-12,33873
2010-01-13,60488
2010-01-14,40114
2010-01-15,42330
2010-01-19,49469
2010-01-20,48241
2010-01-21,35457
2010-01-22,30415
2010-01-25,30539
2010-01-26,30418
2010-01-27,42885
2010-01-28,35797
2010-01-29,62568
2010-02-01,57026
2010-02-02,65546
2010-02-03,61505
2010-02-04,50470
2010-02-05,55763
2010-02-08,55118
2010-02-09,63813
2010-02-10,87561
2010-02-11,54328
2010-02-12,40776
2010-02-16,59297
2010-02-17,42283
2010-02-18,40668
2010-02-19,41882
2010-02-22,48291
2010-02-23,34885
2010-02-24,27762
2010-02-25,23569
2010-02-26,6934
2010-03-01,7920
2010-03-02,5407
2010-03-03,2932
2010-03-04,2358
2010-03-05,1902
2010-03-08,1264
2010-03-09,739
2010-03-10,462
2010-03-11,221
2010-03-12,24060
2010-03-15,20569
2010-03-16,26171
2010-03-17,34563
2010-03-18,34830
2010-03-19,21371
2010-03-22,23468
2010-03-23,31447
2010-03-24,24110
2010-03-25,33361
2010-03-26,26997
2010-03-29,32286
2010-03-30,34897
2010-03-31,58287
2010-04-01,68
2010-04-05,20682
